ID number,State,Started on,Completed,Time taken,Grade/20.00,Q. 1 /3.53,Q. 2 /2.94,Q. 3 /0.59,Q. 4 /0.59,Q. 5 /7.06,Q. 6 /1.18,Q. 7 /2.35,Q. 8 /1.76
3671086.0,Finished,23 September 2020  9:23 PM,23 September 2020  10:24 PM,60.0,16.47,1.76,2.94,0.59,0.59,7.06,1.18,2.35,0.00
3670280.0,Finished,24 September 2020  10:06 AM,24 September 2020  10:49 AM,42.78,15.29,1.76,2.94,0.59,0.59,7.06,0.59,1.76,0.00
3671439.0,Finished,26 September 2020  7:53 PM,26 September 2020  9:54 PM,120.0,15.29,3.53,2.94,0.59,0.00,7.06,0.00,0.59,0.59
3971070.0,Finished,28 September 2020  1:12 AM,28 September 2020  2:18 AM,66.0,19.41,3.53,2.94,0.59,0.59,7.06,1.18,2.35,1.18
3670050.0,Finished,25 September 2020  2:39 PM,25 September 2020  2:42 PM,3.67,16.47,1.76,2.94,0.59,0.59,7.06,1.18,1.76,0.59
3800364.0,Finished,27 September 2020  10:03 PM,27 September 2020  10:59 PM,55.98,15.88,3.53,2.35,0.59,0.00,7.06,1.18,0.59,0.59
28717021.0,Finished,27 September 2020  9:05 PM,27 September 2020  9:46 PM,40.33,17.65,3.53,2.94,0.59,0.00,7.06,1.18,1.18,1.18
3802291.0,Finished,28 September 2020  3:05 AM,28 September 2020  4:42 AM,96.0,17.06,2.94,2.94,0.59,0.00,7.06,1.18,1.18,1.18
3801474.0,Finished,25 September 2020  3:51 PM,25 September 2020  5:43 PM,112.0,13.53,0.59,0.59,0.59,0.59,7.06,1.18,2.35,0.59
3301246.0,Finished,27 September 2020  5:50 PM,27 September 2020  6:49 PM,58.8,17.06,3.53,2.94,0.59,0.00,7.06,1.18,1.18,0.59
3703993.0,Finished,26 September 2020  7:03 PM,26 September 2020  7:45 PM,41.98,6.47,1.18,0.59,0.59,0.00,2.35,1.18,0.59,0.00
3802621.0,Finished,27 September 2020  9:48 PM,27 September 2020  11:42 PM,114.0,17.65,3.53,2.94,0.59,0.00,7.06,1.18,1.76,0.59
3803961.0,Finished,28 September 2020  12:26 AM,28 September 2020  1:12 AM,46.08,11.76,1.18,0.59,0.00,-,6.47,1.18,2.35,-
3671913.0,Finished,26 September 2020  6:59 PM,26 September 2020  8:23 PM,84.0,7.65,3.53,2.94,0.59,0.00,-,0.59,-,-
3700565.0,Finished,21 September 2020  7:55 PM,21 September 2020  8:57 PM,61.0,12.94,1.18,1.76,0.00,0.00,7.06,0.59,1.18,1.18
3803009.0,Finished,26 September 2020  9:50 PM,26 September 2020  10:18 PM,28.1,12.94,0.59,0.59,0.00,0.00,7.06,1.18,2.35,1.18
3800446.0,Finished,24 September 2020  3:34 PM,24 September 2020  5:34 PM,120.0,11.76,0.00,0.00,0.59,0.59,7.06,1.18,1.76,0.59
3803454.0,Finished,27 September 2020  10:47 PM,27 September 2020  11:23 PM,35.8,15.88,2.94,1.76,0.59,0.00,7.06,0.59,1.76,1.18
3802614.0,Finished,27 September 2020  10:50 PM,28 September 2020  12:17 AM,87.0,15.29,3.53,0.59,0.59,0.00,7.06,1.18,1.18,1.18
3800511.0,Finished,27 September 2020  11:43 AM,27 September 2020  1:26 PM,102.0,15.88,2.94,2.35,0.59,0.00,7.06,1.18,1.18,0.59
28717024.0,Finished,27 September 2020  5:15 PM,27 September 2020  7:14 PM,118.0,17.65,2.94,2.35,0.59,0.59,7.06,1.18,2.35,0.59
3679357.0,Finished,25 September 2020  12:40 PM,25 September 2020  1:07 PM,27.15,15.29,1.76,2.94,0.59,0.00,7.06,1.18,0.59,1.18
3802515.0,Finished,27 September 2020  11:38 PM,27 September 2020  11:45 PM,7.55,14.71,2.35,0.59,0.59,0.00,7.06,1.18,1.76,1.18
3703346.0,Finished,27 September 2020  4:39 PM,27 September 2020  5:25 PM,46.77,13.53,0.59,1.76,0.59,0.00,7.06,1.18,1.76,0.59
3700185.0,Finished,21 September 2020  5:18 PM,21 September 2020  6:24 PM,65.0,10.59,1.18,-,-,-,7.06,1.18,0.59,0.59
3711387.0,Finished,28 September 2020  12:00 AM,28 September 2020  12:54 AM,53.82,18.82,3.53,2.94,0.59,0.00,7.06,1.18,2.35,1.18
3674205.0,Finished,28 September 2020  5:29 AM,28 September 2020  6:14 AM,45.0,5.88,2.35,1.18,0.59,0.00,-,1.18,0.59,-
3800256.0,Finished,26 September 2020  10:08 AM,26 September 2020  10:42 AM,33.83,12.35,1.18,0.59,0.59,0.00,7.06,1.18,0.59,1.18
3309168.0,Finished,27 September 2020  3:53 PM,27 September 2020  5:12 PM,78.0,3.53,0.00,0.00,0.59,0.00,1.76,1.18,-,-
3873784.0,Finished,27 September 2020  8:23 PM,27 September 2020  10:18 PM,115.0,7.65,0.00,0.00,0.59,0.00,7.06,0.00,0.00,0.00
3872354.0,Finished,27 September 2020  6:09 PM,27 September 2020  7:46 PM,96.0,13.53,1.18,2.35,0.00,0.00,7.06,1.18,0.59,1.18
3802420.0,Finished,28 September 2020  1:51 AM,28 September 2020  2:14 AM,22.33,19.41,3.53,2.94,0.59,0.59,7.06,1.18,2.35,1.18
2800282.0,Finished,27 September 2020  9:50 PM,27 September 2020  11:50 PM,120.0,5.29,0.00,0.00,0.59,0.00,4.71,-,-,-
3811132.0,Finished,24 September 2020  10:10 AM,24 September 2020  11:55 AM,104.0,11.76,0.59,1.18,0.59,0.00,7.06,1.18,1.18,0.00
3803151.0,Finished,28 September 2020  12:08 AM,28 September 2020  1:14 AM,65.0,18.82,3.53,2.94,0.59,0.00,7.06,1.18,2.35,1.18
3800104.0,Finished,24 September 2020  3:48 PM,24 September 2020  5:09 PM,81.0,13.53,2.35,1.76,0.00,0.00,7.06,1.18,0.59,0.59
3872902.0,Finished,22 September 2020  2:39 PM,22 September 2020  3:42 PM,63.0,11.18,0.00,0.59,0.59,0.00,7.06,0.59,1.18,1.18
